No.,Title,Venue,Year,Author,Analogy Process,,,,Create Process,,,,,,,Representation,,,,,,Automation Level,Application,specific Domain,Keywords,Note,,,,,,,,
,,,,,encoding/representation[73],Retrieval,Mapping,evaluation,Vision,Inspiration,ldeation,Prototype,Fabrication,Evaluation/crticue,Meta,Text,Visual,Stucture,Function,Workflow,Unconventional,,,,,,,,,,,,,
1,Improving Selection of Analogical Inspirations through Chunking and Recombination,C&C,2024,Arvind Srinivasan,√,√,,,√,√,√,,,,,√,,,,,√,augment,Creative Industries,产品设计,,,,,,,,,,
2,BioSpark: Beyond Analogical Inspiration to LLM-augmented Transfer,CHI,2025,Hyeonsu Kang,,√,√,,,√,√,√,,√,,,,√,√,,,augment,Intelligent Manufacturing,生物启发式机械设计,,,,,,,,,,
3,Anther: Cross-Pollinating Communities of Practice via Video Tutorials,DIS,2024,Adam G. Emerson,√,√,√,√,√,√,√,,√,√,,√,,,√,,√,augment,Intelligent Manufacturing,小众工艺,,,,,,,,,,
4,Textoshop: Interactions Inspired by Drawing Software to Facilitate Text Editing,CHI,2025,Damien Masson,√,,√,,,,,√,√,,√,√,,,,√,,assist,Creative Industries,CAD工具开发,,,,,,,,,,
7,BIDTrainer: An LLMs-driven Education Tool for Enhancing the Understanding and Reasoning in Bio-inspired Design,CHI,2024,Liuqing Chen,√,√,√,√,,√,,,,√,√,√,,,√,,√,augment,Education and Service Industries,教育以及对知识的理解,,,,,,,,,,
8,STAR: Smartphone-analogous Typing in Augmented Reality,UIST,2023,Taejun Kim,,,√,,,,,,√,,,,,,,√,,automate,Education and Service Industries,快速转移使用的知识,,,,,,,,,,
9,Interactive Flexible Style Transfer for Vector Graphics,UIST,2023,Jeremy Warner,,,√,,,√,,,√,,,,√,,,,,augment,Creative Industries,图形设计,,,,,,,,,,
10,Beyond Numbers: Creating Analogies to Enhance Data Comprehension and Communication with Generative AI,CHI,2024,Qing Chen,,√,√,,,√,√,√,,,,√,√,,√,,,augment,Creative Industries,视觉传达设计,,,,,,,,,,
11,ReelFramer: Human-AI Co-Creation for News-to-Video Translation,CHI,2024,Sitong Wang,√,,√,,,,,,√,,,√,,,,√,,augment,Creative Industries,新闻传达形式扩展,,,,,,,,,,
