No.,Title,Venue,Year,Author,类比阶段【73】【74】,,,,Create Process,,,,,,,类比类型（把定义写清楚）也要标记好文章,,,,,,自动化程度（Assist (人机筛选结合) < Augment (Co-create人机相互刺激) < Automate (机器自主迭代) 90%）,specific Domain,大分类（按照行业分类）creative industires/intelligent manufacturing/education and service indusctires,Theory/Techniques/Application(Contribution Category List),Keywords,Note,,,,,,,,
,,,,,encoding/representation[73],Retrieval,Mapping,evaluation,Vision,Inspiration,ldeation,Prototype,Fabrication,Evaluation/crticue,Meta,语义/文字,仅外观/形状,材质结构(Stucture),功能/attributioanl,交互流程/多模态,非传统语境,,,,,,,,,,,,,,
1,Improving Selection of Analogical Inspirations through Chunking and Recombination,C&C,2024,Arvind Srinivasan,√,√,,,√,√,√,,,,,√,,,,,√,augment,产品设计,Creative Industries,Application,,,,,,,,,,
2,BioSpark: Beyond Analogical Inspiration to LLM-augmented Transfer,CHI,2025,Hyeonsu Kang,,√,√,,,√,√,√,,√,,,,√,√,,,augment,生物启发式机械设计,Intelligent Manufacturing,Application,,,,,,,,,,
3,Anther: Cross-Pollinating Communities of Practice via Video Tutorials,DIS,2024,Adam G. Emerson,√,√,√,√,√,√,√,,√,√,,√,,,√,,√,augment,小众工艺,Intelligent Manufacturing,Application,,,,,,,,,,
4,Textoshop: Interactions Inspired by Drawing Software to Facilitate Text Editing,CHI,2025,Damien Masson,√,,√,,,,,√,√,,√,√,,,,√,,assist,CAD工具开发,Creative Industries,Application,,,,,,,,,,
7,BIDTrainer: An LLMs-driven Education Tool for Enhancing the Understanding and Reasoning in Bio-inspired Design,CHI,2024,Liuqing Chen,√,√,√,√,,√,,,,√,√,√,,,√,,√,augment,教育以及对知识的理解,Education and Service Industries,Application,,,,,,,,,,
8,STAR: Smartphone-analogous Typing in Augmented Reality ,UIST,2023,Taejun Kim,,,√,,,,,,√,,,,,,,√,,automate,快速转移使用的知识,Education and Service Industries,Application,,,,,,,,,,
9,Interactive Flexible Style Transfer for Vector Graphics,UIST,2023,Jeremy Warner,,,√,,,√,,,√,,,,√,,,,,augment,图形设计,Creative Industries,Application,,,,,,,,,,
10,Beyond Numbers: Creating Analogies to Enhance Data Comprehension and Communication with Generative AI,CHI,2024,Qing Chen,,√,√,,,√,√,√,,,,√,√,,√,,,augment,视觉传达设计,Creative Industries,Application,,,,,,,,,,
11,ReelFramer: Human-AI Co-Creation for News-to-Video Translation,CHI,2024,Sitong Wang,√,,√,,,,,,√,,,√,,,,√,,augment,新闻传达形式扩展,Creative Industries,Application,,,,,,,,,,
12,Applying case-based reasoning and a learning-based adaptation strategy to irrigation scheduling in grape farming,Computers and Electronics in Agriculture,2020,zhai,,√,√,√,,,√,√,√,√,√,,,,,√,√,automate,农业灌溉,Intelligent Manufacturing,Application,,,,,,,,,,
13,DiscipLink: Unfolding Interdisciplinary Information Seeking Process via Human-AI Co-Exploration,UIST,2024,Chengbo Zheng,√,√,√,,,√,,√,√,,,√,,,,,√,assist,跨学科科研,Creative Industries,Application,,,,,,,,,,
14,Predicting the Cost Outcome of Construction Quality Problems Using Case-Based Reasoning," Construction Management – Future Innovations, Methods, Techniques and Technologies",2022,David Arditi,,√,,√,,,,,,√,,,,,,√,√,augment,建筑案件诉讼,Education and Service Industries,Application,,,,,,,,,,
15,XCreation: A Graph-based Crossmodal Generative Creativity Support Tool,UIST,2023,Zihan Yan,√,,√,,,,,√,√,,,√,,,,√,,augment,插画设计,Creative Industries,Application,,,,,,,,,,
22,STORYANALOGY: Deriving Story-level Analogies from Large Language Models to Unlock Analogical Understanding ,EMNLP,2023,Hila Lifshitz-Assaf,,√,,,√,√,,,,,,,,,√,,,augment,创意写作服务,Education and Service Industries,Application,,,,,,,,,,
30,Fractal design concepts for stretchable electronics,Nature,2014,Jonathan A. Fan,,,√,√,,,√,√,√,,,,√,√,,,,assist,电子电路设计,Intelligent Manufacturing,Application,,,,,,,,,,
32,Umitation: Retargeting UI Behavior Examples for Website Design,UIST,2021,Yan Chen,√,,√,,√,,,√,√,,,,,,,√,,automate,网站设计,Creative Industries,Application,,,,,,,,,,
39,MedAI-SciTS: Enhancing Interdisciplinary Collaboration between AI Researchers and Medical Experts,CHI,2025,Chen Cao,√,√,√,√,,,√,√,√,,√,√,,,,,√,augment,医学服务设计,Education and Service Industries,Application,,,,,,,,,,
41,Guiding data-driven design ideation by knowledge distance,Knowledge-Based Systems,2021,Jianxi Luo,✔️√,✔️√,,✔️√,,✔️√,✔️√,,✔️,✔️√,,✔️√,,✔️√,✔️√,,,assist,专利设计,Intelligent Manufacturing,Application,,,,,,,,,,
42,Crowdsourcing inspiration: Using crowd generated inspirational stimuli to support designer ideation,Design Studies,2019,Kosa Goucher-Lambert,,✔️√,✔️,✔️,,✔️√,✔️√,✔️,✔️,,✔️,√,,,✔️√,,,assist,概念设计,Creative Industries,Application,,,,,,,,,,
